"A1";"A2";"A6";"A7";"A8";"A9";"A10";"A12";"A13";"A15";"A16"
"b";33,5;"x";"h";4,5;"t";"t";"t";"g";857;"+"
"a";23,42;"q";"v";1,5;"t";"t";"t";"g";400;"+"
"b";20,67;"c";"v";2;"f";"f";"t";"s";0;"-"
"a";28,58;"i";"bb";0,5;"t";"f";"t";"g";0;"-"
"b";31,83;"m";"v";0,04;"f";"f";"f";"g";0;"-"
"b";26,67;"cc";"v";4,29;"t";"t";"t";"g";0;"+"
"b";36,17;"i";"bb";5;"f";"f";"f";"g";687;"-"
"a";28,42;"w";"v";0,835;"t";"f";"f";"s";0;"+"
"a";31,25;"cc";"h";0,625;"t";"t";"t";"g";0;"+"
"b";34,25;"w";"bb";0,25;"t";"f";"t";"g";0;"-"
"b";33,58;"m";"v";4,25;"t";"t";"f";"g";0;"+"
"b";47,83;"x";"bb";0,085;"f";"f";"t";"g";0;"-"
"b";24,33;"d";"v";5,5;"t";"f";"t";"s";0;"+"
"b";25,67;"c";"v";1,5;"f";"f";"t";"g";0;"-"
"b";43,25;"q";"h";6;"t";"t";"f";"g";0;"+"
"b";23;"m";"v";0,5;"t";"f";"t";"s";0;"-"
"b";25;"k";"v";2,25;"t";"t";"t";"g";5;"-"
"a";47;"i";"bb";5,165;"t";"t";"t";"g";0;"+"
"b";20;"d";"v";0,5;"f";"f";"f";"g";0;"-"
"b";35,17;"x";"h";5,75;"f";"f";"t";"s";0;"+"
"b";31;"c";"v";0,085;"f";"f";"f";"g";0;"-"
"b";34,67;"m";"v";1,165;"f";"f";"f";"s";0;"-"
"a";49;"j";"j";0;"t";"f";"t";"g";27;"-"
"b";27,67;"x";"h";1;"t";"t";"f";"g";7544;"+"
"a";47,42;"e";"bb";6,5;"t";"t";"f";"g";51100;"+"
"b";48,17;"w";"h";15,5;"t";"t";"f";"g";790;"+"
"a";41,17;"q";"v";0,5;"t";"t";"t";"g";0;"+"
"a";25,42;"q";"v";1,29;"t";"t";"f";"g";0;"-"
"b";33,58;"i";"bb";4;"f";"f";"t";"s";0;"-"
"b";38,58;"w";"v";4;"t";"t";"f";"g";1344;"+"
"b";42,83;"q";"v";4,58;"t";"f";"f";"s";0;"+"
"b";28,67;"d";"v";0,125;"f";"f";"f";"g";286;"-"
"b";28,17;"k";"v";0,085;"f";"f";"f";"g";2100;"-"
"a";28,5;"q";"v";1;"t";"t";"t";"g";500;"-"
"b";36,08;"ff";"ff";0;"f";"f";"f";"g";1000;"-"
"b";24,5;"aa";"v";0,04;"f";"f";"t";"g";475;"-"
"a";45,83;"q";"v";5;"t";"t";"t";"g";0;"+"
"b";21,33;"c";"v";3;"t";"f";"t";"g";0;"+"
"b";59,5;"w";"v";1,75;"t";"t";"t";"g";58;"+"
"b";42,75;"aa";"v";0,04;"f";"f";"f";"g";100;"-"
"b";36,5;"q";"v";3,5;"f";"f";"f";"g";50;"-"
"b";36,25;"c";"bb";2,5;"t";"t";"f";"g";367;"+"
"b";39,17;"i";"h";10;"f";"f";"t";"s";0;"-"
"b";18,83;"ff";"ff";0;"f";"f";"t";"g";1;"-"
"b";32;"e";"h";0,04;"t";"f";"t";"g";0;"+"
"b";48,75;"c";"h";12,5;"t";"t";"f";"g";1655;"+"
"b";26;"q";"v";1,75;"t";"f";"t";"g";0;"+"
"a";22,5;"q";"v";3;"t";"f";"t";"g";0;"-"
"b";62,5;"c";"h";5;"t";"f";"f";"g";0;"-"
"b";27,75;"cc";"v";0,25;"t";"t";"f";"g";500;"+"
"b";27,58;"aa";"v";2;"t";"t";"t";"g";560;"+"
"a";22,92;"q";"v";0,25;"f";"f";"t";"g";809;"-"
"b";63,33;"c";"v";0,585;"t";"t";"t";"g";0;"-"
"b";27;"w";"v";0,375;"t";"f";"t";"g";1065;"+"
"b";21,5;"c";"v";0,25;"t";"f";"f";"g";0;"-"
"b";30,33;"d";"h";0,085;"f";"f";"t";"s";0;"-"
"b";36,17;"w";"v";0,085;"f";"f";"f";"g";3552;"-"
"b";23,08;"w";"h";2,125;"t";"t";"t";"g";284;"+"
